District_Name,Crop_Year,Season,Crop,Area,Yield,Rainfall,Texture,pH,Drainage,Water_Holding,Salinity,Fertility_Level,Temp_Max_C,Temp_Min_C,Irrigation_Level,Net_Cropped_Area_ha,Gross_Cropped_Area_ha,Climate_Type,Soil_Type
0,2011,2,5,144,43.69444444444444,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,17,29930,0.2161042432342131,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,18,38,0.2105263157894736,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,21,323,8049.53560371517,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,22,75,0.4666666666666667,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,26,735,0.6925170068027211,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,42,6,0.6666666666666666,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,43,26,12.653846153846152,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,68,259,2.722007722007722,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,70,7967,110.48813857160788,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,71,228,1.8333333333333333,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,73,273,37.663003663003664,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,77,100,5.48,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2011,2,79,1496,0.7774064171122995,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,2,99,0.7878787878787878,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,18,65,0.2153846153846154,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,23,8634,1.81422283993514,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,31,9108,2.5267896354852875,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,39,14743,2.405819711049312,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,42,2,0.5,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,60,8,1.875,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,64,17523,2.0768133310506194,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,71,754,1.2228116710875332,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,0,79,1703,0.5425719318849089,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2012,2,70,7804,90.6694003075346,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,4,777,3.716859716859717,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,18,31,0.3225806451612903,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,23,8815,3.388201928530913,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
